,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
0,3271757.0,1171.0,313.0,10.0,0.0,0.0,0.0,67.0,251433.0,0.0,241.0,350.0,57.0,376.0,51.0,3.0,0.0,13052.0,10.0,355.0,0.0,21.0,801.0,0.0,24.0,0.0,1.0,0.0,0.0,11.0,4.0,1794.0,654.0,7977.0,332.0,5048.0,3795.0,2600.0,4025.0,9.0,1.0,1296.0,3.0,220.0,0.0,0.0,3890.0,3289.0,1.0,14.0,891.0,0.0,14.0,109.0,703.0,0.0,97.0,460.0,0.0
1,243.0,167779.0,13.0,0.0,0.0,0.0,106.0,13.0,57.0,0.0,0.0,3.0,0.0,15611.0,0.0,0.0,0.0,31.0,4.0,3.0,0.0,11.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,570.0,0.0,134.0,15.0,1731.0,21.0,2276.0,264.0,85.0,1254.0,202.0,0.0,396.0,4.0,0.0,0.0,0.0,551.0,272.0,0.0,0.0,412.0,0.0,0.0,1.0,26.0,0.0,6.0,16.0,0.0
2,516.0,17.0,138372.0,0.0,0.0,0.0,0.0,0.0,59242.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,106.0,4.0,46.0,0.0,1274.0,114.0,109.0,36.0,3125.0,0.0,297.0,11.0,2.0,0.0,0.0,525.0,342.0,34.0,0.0,21.0,0.0,13.0,0.0,1.0,0.0,21.0,76.0,0.0
3,44.0,2.0,0.0,657481.0,0.0,0.0,1328.0,45.0,1.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,19.0,4.0,37.0,0.0,74.0,245.0,0.0,9.0,0.0,0.0,2.0,1.0,0.0,0.0,572.0,24.0,8149.0,24.0,7714.0,19.0,199.0,3955.0,2.0,0.0,1844.0,33.0,11.0,0.0,0.0,1321.0,3375.0,11.0,5.0,448.0,0.0,39.0,22.0,22.0,0.0,14.0,52.0,0.0
4,5.0,0.0,0.0,0.0,5351381.0,0.0,0.0,2100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,340785.0,9658.0,11.0,2.0,0.0,1959.0,2599.0,0.0,433.0,0.0,824.0,0.0,0.0,2.0,0.0,3719.0,588.0,41830.0,5.0,14391.0,48.0,2276.0,7041.0,1466.0,450.0,1550.0,214.0,0.0,0.0,0.0,11941.0,22642.0,519.0,85.0,12693.0,0.0,51.0,2260.0,288.0,0.0,118.0,1077.0,0.0
5,0.0,0.0,0.0,889.0,0.0,8892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1048.0,0.0,132.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0
6,20.0,86.0,0.0,11.0,0.0,0.0,385010.0,16808.0,21.0,0.0,0.0,0.0,0.0,170.0,0.0,11.0,388.0,115.0,0.0,154.0,33408.0,32.0,28.0,0.0,30.0,0.0,0.0,0.0,0.0,4904.0,378.0,2138.0,130.0,10085.0,150.0,1060.0,308.0,463.0,932.0,54.0,0.0,733.0,29.0,0.0,0.0,0.0,689.0,1650.0,11.0,0.0,286.0,0.0,6.0,93.0,24.0,0.0,13.0,190.0,0.0
7,443.0,4.0,0.0,1.0,0.0,0.0,569.0,328543.0,51.0,0.0,0.0,0.0,0.0,8.0,11.0,51.0,12.0,35.0,78.0,4539.0,0.0,18.0,35.0,0.0,0.0,0.0,2.0,0.0,44.0,5553.0,0.0,1589.0,82.0,7390.0,56.0,3231.0,90.0,285.0,2880.0,95.0,3930.0,2475.0,140.0,12.0,0.0,0.0,2327.0,522.0,7.0,35.0,1371.0,0.0,138.0,205.0,194.0,0.0,62.0,99.0,0.0
8,18581.0,33.0,2678.0,58.0,0.0,0.0,0.0,2.0,4099848.0,1.0,325.0,124.0,1.0,49.0,10.0,73.0,1.0,9801.0,889.0,196.0,1.0,167.0,206.0,0.0,22.0,1.0,0.0,0.0,2.0,29.0,85.0,1850.0,159.0,6931.0,137.0,78651.0,7126.0,3234.0,5341.0,795.0,0.0,7111.0,6.0,42.0,0.0,0.0,5149.0,3102.0,37.0,19.0,3228.0,0.0,9.0,35.0,236.0,0.0,8.0,190.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172398.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,1.0,3.0,0.0,483.0,0.0,1.0,8.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,592.0,391.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,142092.0,1775.0,51.0,43.0,314.0,28.0,0.0,526.0,513.0,111.0,12.0,108.0,6.0,0.0,4.0,0.0,19.0,127.0,26.0,703.0,72.0,525.0,30.0,101.0,73.0,2268.0,1005.0,137.0,53.0,0.0,0.0,73.0,2.0,5.0,0.0,0.0,1335.0,22.0,0.0,8.0,32.0,0.0,2.0,1.0,39.0,0.0,2.0,10.0,0.0
11,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,813.0,126659.0,1674.0,4.0,1.0,3.0,0.0,33.0,6.0,0.0,0.0,331.0,3.0,0.0,4.0,0.0,6.0,4.0,0.0,98.0,0.0,21.0,1.0,11.0,8.0,4458.0,1318.0,85.0,16.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,794.0,163.0,2.0,0.0,100.0,0.0,1.0,6.0,1.0,0.0,0.0,81.0,0.0
12,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,187.0,183.0,53964.0,15.0,11.0,2.0,0.0,18.0,105.0,0.0,0.0,1.0,29.0,0.0,5.0,0.0,2.0,14.0,0.0,5.0,16.0,68.0,2.0,23.0,1.0,1089.0,322.0,80.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1251.0,15.0,2.0,1.0,13.0,0.0,0.0,0.0,12.0,0.0,13.0,3.0,0.0
13,97.0,6465.0,0.0,0.0,9.0,0.0,0.0,5.0,74.0,0.0,3.0,11.0,0.0,344618.0,82.0,4.0,0.0,367.0,228.0,712.0,8.0,194.0,52.0,0.0,6.0,0.0,0.0,2.0,0.0,2092.0,16.0,801.0,45.0,1373.0,390.0,2274.0,653.0,188.0,672.0,10.0,2.0,191.0,7.0,1.0,0.0,0.0,1076.0,497.0,1.0,0.0,247.0,0.0,5.0,17.0,86.0,0.0,4.0,226.0,0.0
14,64.0,4816.0,3.0,0.0,0.0,0.0,0.0,0.0,415.0,0.0,43.0,38.0,0.0,1540.0,374297.0,32147.0,0.0,3743.0,1038.0,313.0,0.0,21.0,72.0,0.0,0.0,2.0,253.0,2.0,8.0,6458.0,138.0,4301.0,284.0,920.0,1.0,12302.0,87.0,282.0,1420.0,0.0,0.0,804.0,4.0,0.0,0.0,0.0,636.0,422.0,10.0,8.0,148.0,0.0,5.0,269.0,474.0,0.0,20.0,260.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,10.0,57.0,3220.0,276222.0,0.0,5.0,517.0,0.0,0.0,62.0,42.0,0.0,3.0,1.0,0.0,0.0,0.0,40.0,0.0,19.0,0.0,50.0,12.0,3055.0,241.0,86.0,42.0,0.0,0.0,201.0,86.0,0.0,0.0,0.0,1474.0,241.0,151.0,3.0,1884.0,0.0,9.0,0.0,1.0,0.0,141.0,54.0,0.0
16,0.0,0.0,0.0,0.0,730402.0,0.0,0.0,15011.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4183308.0,179567.0,2206.0,680.0,3118.0,12.0,9.0,0.0,19.0,0.0,0.0,0.0,0.0,12.0,0.0,4867.0,457.0,889.0,0.0,155814.0,6164.0,719.0,6670.0,19.0,0.0,5998.0,91.0,0.0,0.0,0.0,4942.0,8251.0,728.0,1.0,3994.0,0.0,28.0,615.0,848.0,0.0,65.0,39.0,0.0
