,0
0,1971318.961586893
1,3205.0113527452513
2,162.37611405215318
3,4120.265853692199
4,574.3682934047652
5,0.02169452039385336
6,0.04655715001893174
7,5688.3330849454
8,644595.7682732646
9,11.763269506749761
10,3013.846473911971
11,4302.266931715259
12,177.7377613447569
13,7941.400016159731
14,32330.194960088935
15,834.6958691637722
16,338387.33317136375
17,420036.5140356004
18,44534.99369014302
19,11627.00463868893
20,4457.886486534452
21,34274.56283130622
22,184579.35597158255
23,438.61973365108685
24,10004.942568826053
25,172.606836126482
26,3104.510758727699
27,19682.719276227097
28,480.8405989653551
29,1070.3228494295495
30,264.3784163122989
31,162976.78474843202
32,6068.357749835113
33,33501.63769508175
34,3071.7043886061065
35,87672.70735884765
36,77.25263520385366
37,848.4543836539771
38,72468.76770867864
39,88.53057490284702
40,797.6436506948002
41,64611.51623659782
42,6378.079421534637
43,211081.6701231994
44,11556.31802950679
45,52.510199602968754
46,16988.199524812622
47,33535.59932523262
48,4595.447318931729
49,0.06872585249116873
50,26255.652025530366
51,3122.198876817794
52,841.3499284973647
53,29517.835218805212
54,2910.4275537811277
55,0.03872302948224984
56,40.579722520691924
57,80.33915238081121
58,0.03904338654130698
59,2162.6636163580706
60,45564.071155901176
61,0.04733830228216383
62,21.752989495762918
63,0.05394481371981152
64,0.022320189414226355
65,0.04751715692139941
66,526.1862520531652
67,122.7682592089165
68,0.07904316096777023
69,211.80044083316494
70,815.0613934248934
71,18.429234258218685
72,1973.4928447923583
73,1068.2031697865616
74,177.91331505009717
75,59157.02537321678
76,1011.5496541150168
77,4169.753754761
78,846.1371965787444
79,1361.8946911113428
80,5416.870424295406
81,21869.405541528493
82,1444.794740397424
83,1309.5384112223353
84,77.06873147782287
85,121.05086006114543
86,10922.529317179196
87,142.0062332942346
88,560.8366013051902
89,0.06045340535565905
90,5536.666043933622
91,88.62048671195386
92,4411.262997731473
93,954.2204098316653
94,1891.3051576006706
95,0.0604357942912814
96,279.3277327988913
97,21902.39018633123
98,3997.251941176164
99,111.67663178369604
100,11571.235356056626
101,717.8266774939423
102,8647.156271954565
103,714.9991685738754
104,182.85198369177107
105,1866.5466401717322
106,13151.49964864804
107,481.7485169491056
108,0.0698296247956971
109,2928.734560788225
110,1154.6974184823305
111,65.37255110195697
112,38.00269177214902
113,42.851907053692365
114,0.039602163998731475
115,2.634467178662349
116,14.155939672142907
117,0.03992619337397628
118,1239.1066998801443
119,5.169438457791578
120,11605.389818933449
121,139.57884207068776
122,0.05341158367323926
123,0.021990155297797836
124,0.04701150576458689
125,157.89664232161704
126,12018.620167698335
127,0.07844246682334617
128,7186.390287224964
129,58.349617539785676
130,18.24406985091794
131,127.26715108643202
132,4425.802839987461
133,57.89228272079512
134,139551.69375243003
135,822.0283462698842
136,3558.857439731943
137,284.56298396103233
138,1624.4190626197699
139,5344.781575788496
140,17196.05226854918
141,106.46085554012744
142,389.1366863683218
143,12.270220128145436
144,2145.8648294367094
145,256.01552546879805
146,5819.413417216125
147,108.09526809631834
148,0.059897397445203567
149,4021.541185671856
150,120.84025170415728
151,1580.108272842064
152,247.39859250155067
153,1528.535380003043
154,0.05987952766944652
155,117.03646902209057
156,783.4512471317964
157,20289.319897695874
158,677.5852329975772
159,3410.4307177185583
160,773.4546342350194
161,10517.00485540801
162,913.2922082459171
163,0.055702920776115425
164,3848.220749201608
165,10508.811286179547
166,540.7772299373337
167,0.06924840956142914
168,2855.324619643797
169,1266.3340224300587
170,86.288534740172
171,1902.5520102761682
172,117.16505394316505
173,0.0391389747154389
174,17.94741934207964
175,0.055855733560892115
176,0.03946107585681601
177,8.716905739499788
178,538.3658395056273
179,0.05127468314691942
180,250815.81764618523
181,853.9217256517111
182,0.024951208641938023
183,164.72266534226128
184,2287.7292408167013
185,102.77863152288505
186,0.08365593309935576
187,710.2430138659818
188,1967.1259500984943
189,300.06481710431933
